job_name,timestamp,status
blackscholes,1747332613,RUNNING
ferret,1747332613,RUNNING
blackscholes,1747332615,RUNNING
ferret,1747332615,RUNNING
blackscholes,1747332617,PAUSED
ferret,1747332617,RUNNING
blackscholes,1747332619,PAUSED
ferret,1747332619,RUNNING
blackscholes,1747332621,PAUSED
ferret,1747332621,RUNNING
blackscholes,1747332623,PAUSED
ferret,1747332623,RUNNING
blackscholes,1747332625,PAUSED
ferret,1747332625,RUNNING
blackscholes,1747332627,PAUSED
ferret,1747332627,RUNNING
blackscholes,1747332630,PAUSED
ferret,1747332630,RUNNING
blackscholes,1747332632,PAUSED
ferret,1747332632,RUNNING
blackscholes,1747332634,PAUSED
ferret,1747332634,RUNNING
blackscholes,1747332636,RUNNING
ferret,1747332636,RUNNING
blackscholes,1747332638,RUNNING
ferret,1747332638,RUNNING
blackscholes,1747332640,RUNNING
ferret,1747332640,RUNNING
blackscholes,1747332642,RUNNING
ferret,1747332642,RUNNING
blackscholes,1747332644,PAUSED
ferret,1747332644,RUNNING
blackscholes,1747332646,PAUSED
ferret,1747332646,RUNNING
blackscholes,1747332648,PAUSED
ferret,1747332648,RUNNING
blackscholes,1747332650,PAUSED
ferret,1747332650,RUNNING
blackscholes,1747332652,PAUSED
ferret,1747332652,RUNNING
blackscholes,1747332654,PAUSED
ferret,1747332654,RUNNING
blackscholes,1747332656,PAUSED
ferret,1747332656,RUNNING
blackscholes,1747332658,PAUSED
ferret,1747332659,RUNNING
blackscholes,1747332661,PAUSED
ferret,1747332661,RUNNING
blackscholes,1747332663,PAUSED
ferret,1747332663,RUNNING
blackscholes,1747332665,PAUSED
ferret,1747332665,RUNNING
blackscholes,1747332667,PAUSED
ferret,1747332667,RUNNING
blackscholes,1747332669,PAUSED
ferret,1747332669,RUNNING
blackscholes,1747332671,PAUSED
ferret,1747332671,RUNNING
blackscholes,1747332673,PAUSED
ferret,1747332673,RUNNING
blackscholes,1747332675,PAUSED
ferret,1747332675,RUNNING
blackscholes,1747332677,PAUSED
ferret,1747332677,RUNNING
blackscholes,1747332679,PAUSED
ferret,1747332679,RUNNING
blackscholes,1747332681,PAUSED
ferret,1747332681,RUNNING
blackscholes,1747332683,PAUSED
ferret,1747332683,RUNNING
blackscholes,1747332685,PAUSED
ferret,1747332685,RUNNING
blackscholes,1747332687,PAUSED
ferret,1747332687,RUNNING
blackscholes,1747332689,PAUSED
ferret,1747332690,RUNNING
blackscholes,1747332692,PAUSED
ferret,1747332692,RUNNING
blackscholes,1747332694,PAUSED
